player_name,college_team,college_conference,college_start_year,college_end_year,college_pass_attempts,college_pass_completions,college_pass_yards,college_pass_tds,college_interceptions,college_completion_pct,college_td_int_ratio,college_yards_per_attempt,Unnamed: 0,Age,nfl_games,GS,nfl_pass_completions,nfl_pass_attempts,Cmp%,nfl_pass_yards,nfl_pass_tds,TD%,nfl_interceptions,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,nfl_qb_rating,Sk,Yds-s,Sk%,NY/A,ANY/A,nfl_year,nfl_completion_percentage,nfl_td_int_ratio,nfl_yards_per_attempt
Kyler Murray,Oklahoma,Big 12,2015,2018,460,312,4742,45,14,65.15029620419806,3.2142857142857144,8.85,1851.5,24.333333333333332,73,12.166666666666666,1668,2507,66.43333333333334,17446,104,4.066666666666667,51,2.0166666666666666,140.83333333333334,63.166666666666664,6.8999999999999995,6.8,10.366666666666665,236.0666666666667,91.38333333333333,27.833333333333332,200.16666666666666,6.233333333333333,6.015000000000001,5.94,2018.6666666666667,66.5337056242521,2.0392156862745097,6.958915037893897
Lamar Jackson,Louisville,ACC,2015,2017,1002,584,8492,65,23,57.88291138006665,2.9166666666666665,8.299999999999999,1839.5714285714287,23.857142857142858,102,13.285714285714286,1669,2569,64.25714285714285,19565,149,5.628571428571428,52,2.0285714285714285,133.28571428571428,69.71428571428571,7.514285714285714,7.742857142857143,11.714285714285714,193.45714285714286,97.22857142857143,29.428571428571427,153.85714285714286,7.514285714285714,6.582857142857143,6.78,2018.5714285714287,64.96691319579602,2.8653846153846154,7.615803814713897
Landry Jones,Oklahoma,Big 12,2009,2012,2010,1273,15360,115,48,62.99220718689787,2.4627622377622376,7.625,1593.3333333333333,27.0,18,1.6666666666666667,108,169,67.3,1310,8,4.6000000000000005,7,4.3999999999999995,18.333333333333332,61.666666666666664,8.1,7.033333333333334,12.299999999999999,74.26666666666667,87.63333333333333,3.0,22.0,5.866666666666667,7.25,6.243333333333333,2016.0,63.905325443786985,1.1428571428571428,7.7514792899408285
Levi Brown,Troy,Sun Belt,2008,2009,731,465,5643,36,12,63.284799343765776,3.555555555555556,7.449999999999999,1057.0,23.0,1,0.0,2,3,66.7,24,0,0.0,1,33.3,1.0,16.0,8.0,-7.0,12.0,24.0,51.4,0.0,0.0,0.0,8.0,-7.0,2010.0,66.66666666666666,0.0,8.0
Logan Thomas,Virginia Tech,ACC,2011,2013,1144,644,8443,52,36,56.3605850864628,1.5187220187220187,7.366666666666667,1752.3333333333333,26.333333333333332,30,6.0,3,11,70.36666666666666,124,1,3.6999999999999997,0,0.0,1.0,41.333333333333336,17.333333333333332,18.066666666666666,41.333333333333336,14.533333333333333,113.0,0.6666666666666666,3.6666666666666665,6.066666666666666,16.453333333333333,17.06,2017.3333333333333,27.27272727272727,1.0,11.272727272727273
Logan Woodside,Toledo,Mid-American,2014,2017,1044,684,9736,90,21,65.05507671364067,4.364021164021164,9.166666666666666,1717.0,27.0,8,0.0,7,11,61.1,61,0,0.0,2,16.666666666666668,2.3333333333333335,10.333333333333334,5.3,-2.2333333333333334,8.333333333333334,18.400000000000002,49.53333333333333,0.6666666666666666,4.666666666666667,13.333333333333334,3.4433333333333334,-2.5566666666666666,2016.6666666666667,63.63636363636363,0.0,5.545454545454546
Luke Falk,Washington State,Pac-12,2014,2017,1950,1344,13922,116,38,68.18531078335809,3.0912087912087913,7.2,1893.0,25.0,3,2.0,47,73,64.4,416,0,0.0,3,4.1,15.0,36.0,5.7,3.8,8.9,138.7,62.4,16.0,96.0,18.0,3.6,2.08,2019.0,64.38356164383562,0.0,5.698630136986301
Mac Jones,Alabama,SEC,2019,2020,443,331,4915,43,7,73.14009279763789,5.833333333333333,10.75,1818.25,24.25,53,13.25,1088,1653,65.65,11038,56,3.3000000000000003,48,3.0,126.0,59.75,6.574999999999999,5.925,10.05,205.77499999999998,82.825,26.5,181.5,6.05,5.7875,5.145,2018.25,65.81972171808832,1.1666666666666667,6.677555958862674
Malik Willis,Liberty,FBS Independents,2020,2021,550,344,4658,44,16,62.708544410672076,3.5,8.45,1776.3333333333333,23.666666666666668,14,1.0,39,71,70.26666666666667,424,0,0.0,3,1.6333333333333335,4.333333333333333,48.0,11.366666666666667,10.633333333333335,15.299999999999999,27.96666666666667,93.39999999999999,6.0,36.333333333333336,34.300000000000004,4.326666666666667,3.693333333333333,2017.3333333333333,54.929577464788736,0.0,5.971830985915493
Marcus Mariota,Oregon,Pac-12,2012,2014,1044,699,9706,98,12,67.06897343994119,10.5,9.233333333333333,1779.2,26.4,93,7.4,1342,2141,61.61,15984,94,3.8699999999999997,56,2.69,76.1,49.0,6.909999999999999,6.470000000000001,11.120000000000001,153.77,84.37,18.9,120.9,7.609999999999999,5.93,5.526999999999999,2017.8,62.6809901914993,1.6785714285714286,7.465670247547875
